id,Season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,win_by_runs_capped,win_by_wickets_capped,toss_match_win,win_margin_cat,match_year,match_month,is_big_win,win_by_runs_norm,win_by_wickets_norm,win_by_runs_std,win_by_wickets_std
496,IPL-2014,Hyderabad,,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,0.0,6,1,Medium,,,0,0.0,0.6000000000000001,-0.5682956134911693,0.7772467034501549
497,IPL-2014,Cuttack,,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,0.0,6,1,Medium,,,0,0.0,0.6000000000000001,-0.5682956134911693,0.7772467034501549
498,IPL-2014,Ahmedabad,,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Rajasthan Royals,62,0,AM Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,47.5,0,0,Large,,,1,0.4246575342465753,0.0,2.0702439885216046,-0.9948286507525228
499,IPL-2014,Ranchi,,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,0.0,5,0,Medium,,,0,0.0,0.5,-0.5682956134911693,0.481900811083042
500,IPL-2014,Hyderabad,,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,0.0,7,0,Large,,,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
501,IPL-2014,Ahmedabad,,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,25.0,0,1,Medium,,,0,0.17123287671232876,0.0,0.4956316453849493,-0.9948286507525228
502,IPL-2014,Delhi,,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak,0.0,4,1,Medium,,,0,0.0,0.4,-0.5682956134911693,0.18655491871592902
503,IPL-2014,Hyderabad,,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,0,Sunrisers Hyderabad,0,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,0.0,7,0,Large,,,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
504,IPL-2014,Kolkata,,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin,0.0,8,1,Large,,,0,0.0,0.8,-0.5682956134911693,1.3679384881843808
505,IPL-2014,Chandigarh,,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,0.0,7,1,Large,,,0,0.0,0.7000000000000001,-0.5682956134911693,1.072592595817268
506,IPL-2014,Kolkata,,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Kolkata Knight Riders,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,30.0,0,0,Medium,,,0,0.2054794520547945,0.0,0.708417097160173,-0.9948286507525228
507,IPL-2014,Ranchi,,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,0.0,6,1,Medium,,,0,0.0,0.6000000000000001,-0.5682956134911693,0.7772467034501549
508,IPL-2014,Mumbai,,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,15.0,0,0,Small,,,0,0.10273972602739725,0.0,0.07006074183450184,-0.9948286507525228
